EAN;TITRE UK;REF BEMS;GENRE;PVP;PA;STOCK;RELEASE DATE;DATE IN;PEGI;POIDS;EAN ASSOC;IMG2;IMG3;IMG4;IMG5;IMG6;DESC UK;LICENCE;FABRICANT;INTRASTAT;PAYS ORIGINE;TAILLE 
5060897227381;E.T. - Gift Box 3Pc - Mug 460 ml + Coaster + Keyring;228017;;21.99;11.50;1;;20231204;0;0.394;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2153F/m/FIGFIZZ2153F_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2153F/m/FIGFIZZ2153F_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2153F/m/FIGFIZZ2153F_4.jpg;;;;Movie;Fizz Creation;6912-0021;CN; 
5060767278963;E.T. - Gift Box - Mug 440ml + Puzzle 100pc.;228007;;19.99;9.50;9;;20231204;0;0.365;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2079/m/FIGFIZZ2079_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2079/m/FIGFIZZ2079_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2079/m/FIGFIZZ2079_4.jpeg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2079/m/FIGFIZZ2079_5.jpg;;;Movie;Fizz Creation;6912-0021;CN; 
5060767278321;E.T. - Sound Mug - 255 ml;228002;;17.99;8.50;9;;20231204;0;0.365;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ1976/m/FIGFIZZ1976_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ1976/m/FIGFIZZ1976_3.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ1976/m/FIGFIZZ1976_4.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ1976/m/FIGFIZZ1976_5.jpg;;;Movie;Fizz Creation;6912-0021;CN; 
5060897228142;TETRIS - 3D Brain Teaser Puzzle - '12x16cm';227991;;11.99;5.60;13;;20231204;0;0.109;;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2129/m/FIGFIZZ2129_2.jpg;https://www.pro-bems.com/IMAGES/images_1/FIGFIZZ2129/m/FIGFIZZ2129_3.jpg;;;;;Tetris;Fizz Creation;9503-0069;CN; 
3664794621956;NARUTO - Itachi - Men Christmas Sweaters (XL);227971;L'uomo;39.99;19.90;1;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU012/m/FIGMENASHIPU012_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XL 
3664794621949;NARUTO - Itachi - Men Christmas Sweaters (L);227970;L'uomo;39.99;19.90;1;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU012/m/FIGMENASHIPU012_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;L 
3664794621932;NARUTO - Itachi - Men Christmas Sweaters (M);227969;L'uomo;39.99;19.90;7;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU012/m/FIGMENASHIPU012_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;M 
3664794621925;NARUTO - Itachi - Men Christmas Sweaters (S);227968;L'uomo;39.99;19.90;9;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU012/m/FIGMENASHIPU012_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;S 
3664794621918;NARUTO - Itachi - Men Christmas Sweaters (XS);227967;L'uomo;39.99;19.90;10;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENASHIPU012/m/FIGMENASHIPU012_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XS 
3664794621802;NARUTO - Kakashi - Men Christmas Sweaters (XL);227966;L'uomo;39.99;19.90;4;;20231115;0;0.412;;https://www.pro-bems.com/IMAGES/images_1/FIGMENARUTPU026/m/FIGMENARUTPU026_2.png;;;;;;Naruto;Cotton Division;6110-2091;CN;XL 
